id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2681,749.0,749.0,36.599998,46.700001,0.0,0.0,100.0
L2683,651.0,651.0,47.5,56.0,0.0,0.0,206.0
L2684,603.0,603.0,42.799999,53.900002,0.0,0.0,206.0
L2685,547.0,547.0,64.900002,82.5,0.0,1.0,220.0
H2121,703.0,,,,0.0,0.0,661.0
L1086,563.0,563.0,34.900002,31.4,0.0,0.0,166.0
L1076,334.0,334.0,31.4,31.6,0.0,1.0,132.0
L1073,327.0,327.0,30.5,,0.0,1.0,132.0
L1072,314.0,314.0,29.9,,0.0,1.0,132.0
L1074,293.0,293.0,27.9,,0.0,1.0,132.0
L1075,293.0,293.0,32.099998,,0.0,1.0,132.0
L0497,843.0,843.0,22.700001,26.200001,0.0,0.0,99.0
L0500,767.0,767.0,31.799999,29.9,0.0,0.0,99.0
L0498,746.0,746.0,25.700001,30.6,0.0,0.0,99.0
L0496,729.0,729.0,27.0,31.5,0.0,0.0,99.0
L2139,690.0,690.0,30.0,29.9,0.0,0.0,69.0
L2138,644.0,644.0,33.0,33.099998,0.0,0.0,69.0
L2140,306.0,306.0,31.4,,0.0,0.0,69.0
L0499,178.0,178.0,21.299999,,0.0,0.0,99.0
L0504,578.0,578.0,35.200001,42.799999,0.0,1.0,99.0
L0501,386.0,386.0,34.099998,52.799999,0.0,1.0,99.0
L0503,269.0,269.0,34.400002,,0.0,1.0,99.0
L0502,266.0,266.0,30.0,,0.0,1.0,99.0
L0495,809.0,809.0,32.5,40.799999,0.0,0.0,105.0
L0493,773.0,773.0,30.1,40.799999,0.0,0.0,105.0
L0492,694.0,694.0,32.799999,37.599998,0.0,0.0,105.0
L0494,631.0,631.0,30.9,35.400002,0.0,0.0,105.0
L0488,886.0,886.0,32.799999,38.5,0.0,1.0,105.0
L0487,849.0,849.0,28.4,33.5,0.0,1.0,105.0
L0486,800.0,800.0,32.299999,43.599998,0.0,1.0,105.0
L0490,708.0,708.0,34.599998,45.599998,0.0,1.0,105.0
L0485,525.0,525.0,35.0,53.400002,0.0,1.0,105.0
L0491,471.0,471.0,37.0,51.299999,0.0,1.0,105.0
L0489,347.0,347.0,33.099998,46.299999,0.0,1.0,105.0
L0880,766.0,766.0,29.200001,31.1,0.0,0.0,171.0
L0879,717.0,717.0,29.799999,29.299999,0.0,0.0,171.0
L0877,766.0,766.0,36.0,56.799999,0.0,1.0,171.0
L0878,722.0,722.0,30.9,53.5,0.0,1.0,171.0
L0510,855.0,855.0,21.4,46.099998,0.0,0.0,99.0
L0511,855.0,855.0,22.4,47.400002,0.0,0.0,99.0
L0512,805.0,805.0,22.700001,45.099998,0.0,0.0,99.0
L0513,700.0,700.0,21.200001,44.599998,0.0,0.0,99.0
L0507,817.0,817.0,44.599998,59.599998,0.0,1.0,130.0
L0506,805.0,805.0,44.299999,59.700001,0.0,1.0,130.0
L0508,713.0,713.0,43.900002,58.099998,0.0,1.0,130.0
L0505,663.0,663.0,31.1,55.400002,0.0,1.0,130.0
L0509,663.0,663.0,43.0,58.5,0.0,1.0,130.0
L1368,631.0,631.0,28.700001,52.200001,0.0,1.0,46.0
L1755,404.0,404.0,34.200001,51.0,0.0,1.0,46.0
L2654,808.0,808.0,25.5,30.200001,1.0,0.0,249.0
L2648,772.0,772.0,25.1,25.700001,1.0,0.0,225.0
L2927,760.0,760.0,23.6,22.200001,1.0,0.0,597.0
L2649,725.0,725.0,27.1,26.799999,1.0,0.0,225.0
L2710,1038.0,1038.0,17.6,23.299999,1.0,0.0,49.0
L2711,840.0,840.0,14.9,19.9,1.0,0.0,49.0
L2712,1054.0,1054.0,15.2,21.4,1.0,0.0,49.0
L2713,895.0,895.0,17.9,24.6,1.0,0.0,49.0
L2715,841.0,841.0,20.1,45.099998,1.0,1.0,50.0
L2722,807.0,807.0,18.700001,23.799999,1.0,0.0,68.0
L2723,824.0,824.0,19.200001,22.4,1.0,0.0,68.0
L2724,895.0,895.0,23.9,36.400002,1.0,1.0,68.0
L2725,863.0,863.0,24.700001,36.900002,1.0,1.0,68.0
L2737,808.0,808.0,25.6,26.0,1.0,0.0,73.0
L2746,941.0,941.0,23.200001,28.299999,1.0,0.0,103.0
L2756,788.0,788.0,29.9,34.799999,1.0,0.0,60.0
